N,M,Leakage,Noise_m,Noise_std,NO,CO,SMAPE,Eq_SMAPE,I_m,R_m,eq_t,domEig,domEigLV,C_sur,trc_max
12,12,0.0,0.1,0.1,0.3798740996567987,0.0,-0.03927199367622482,-0.14579512603851888,-0.017356514674667818,0.19757535135832427,2244,-0.0021723909145748613 + 0.0im,0.039398849276153045 + 0.0im,1.0,0.008130995195991465
12,12,0.1,0.1,0.1,0.4593711519082822,0.01900866977500383,-0.45643800664910794,-1.4620200193031232,-0.017355665372895887,0.19083887937807287,3003,-0.0007181571656544021 + 0.0im,0.06005743309935437 + 0.0im,0.75,0.04178877759719686
12,12,0.2,0.1,0.1,0.46337132008299486,0.03929574921711359,-0.32292384460346163,-0.3412155032549625,-0.016344212586340817,0.19309983978874543,3066,-0.0021540133078743143 + 0.0im,0.04838257729918489 + 0.0im,0.75,0.01648288424783122
12,12,0.30000000000000004,0.1,0.1,0.4067408733348974,0.05650446050707415,-0.25416358836533975,-1.0152622883159397,-0.016115601941768087,0.1892642919309545,2251,-1.9902902539482434e-5 + 0.0im,0.15701608213984175 + 0.0im,0.8333333333333334,0.0385348536188531
12,12,0.4,0.1,0.1,0.3722564558701395,0.07563239444080483,0.11291042563307971,0.1708033302780074,-0.017423869893637863,0.20165917531316993,3206,-0.000469693992361331 + 0.0im,0.07328559608709426 + 0.0im,1.0,0.006157887370557341
12,12,0.5,0.1,0.1,0.37921201146559014,0.09456001293578147,0.099291032267937,0.1594823488070341,-0.016891417889127004,0.1951674891294454,4049,-0.000665332357083077 + 0.0im,0.10702372442609087 + 0.0im,0.8333333333333334,0.010799752724147786
12,12,0.6,0.1,0.1,0.49032916178748964,0.11643605307917175,-1.0599046669067793,-1.182844479999661,-0.01378322933799988,0.16859410506292996,5938,-0.00028565682039074055 + 0.0im,0.08489523246098944 + 0.0im,0.6666666666666666,0.035043887692739084
12,12,0.7,0.1,0.1,0.40846062447876264,0.13389233731217132,-0.11928668116609006,-0.1991232590186907,-0.015179717496251102,0.18149769804949803,4117,-0.0012805086668498686 + 0.0im,0.05560091488760471 + 0.0im,0.9166666666666667,0.013338442532914472
12,12,0.7999999999999999,0.1,0.1,0.40633542999786665,0.15221960130472229,-0.11567905929269837,-0.3146731923390954,-0.01522644413523986,0.181358937061736,2289,-0.002364450953132575 + 0.0im,0.06736839509071431 + 0.0im,1.0,0.011350924282419766
12,12,0.8999999999999999,0.1,0.1,0.456071258269885,0.18742079105493917,-0.9960988920799805,-3.4777468629431247,-0.014686792990677273,0.1838621098119251,3154,-0.002533869977991758 + 0.0im,0.07971095364425505 + 0.0im,1.0,0.006659602743629554
