N,M,Leakage,NO,NV,CO,CV,SMAPE,Eq_SMAPE,eq_t,domEig,domEigLV,C_sur,trc_max,gR,gR_LV,dtmin_err
8,8,0.01,0.9833642354988197,0.01634734434138521,0.7021376355474261,0.2085529448335039,-0.0004914480046051692,0.0001607372310539801,10214,-0.00018022149916148897 + 0.0im,-0.0001778998470176746 + 0.0im,1.0,6.868306161707713e-6,0.6583945525369588,0.015682913421999036,Terminated
8,8,0.01,0.983812156119626,0.015915255672532082,0.3507084610694339,0.22754788379460303,0.0012029016107970147,0.00038297247991151247,16477,-0.00010820765256713725 + 0.0im,-0.00010665010302715665 + 0.0im,1.0,2.0638828644677176e-5,0.8701843046831691,0.02043156746323329,Terminated
8,8,0.01,0.9848130780395621,0.014944747377690875,0.3902017857792258,0.2375396137810074,0.0006765413679084676,0.00021663229978916918,18075,-8.675818414231411e-5 + 0.0im,-8.595093642034693e-5 + 0.0im,1.0,2.6081973424830386e-5,0.7992991469963068,0.032400950541870394,Terminated
8,8,0.01,0.9845687940263729,0.015186119295275016,0.4231511223593819,0.24379819417003176,0.00020780886810567513,0.00010906775004163574,13354,-0.00012957749832174565 + 0.0im,-0.0001274814128049119 + 0.0im,1.0,1.9387857529205095e-5,0.7823831212282296,0.017526462970795506,Terminated
8,8,0.01,0.9842680802734235,0.015474041323819101,0.4712797623466337,0.24880565529061144,0.00041264958570277,0.00019543807970368797,16054,-0.00011014515623524886 + 0.0im,-0.00010911394771094042 + 0.0im,1.0,1.2318223774480379e-5,0.8096234159478722,0.020746798247394244,Terminated
8,8,0.01,0.9849919370674687,0.014773953770290038,0.5425427582687002,0.2476776672814592,-0.0001898718704969067,0.00010939225671534202,14378,-0.00013360022032710828 + 0.0im,-0.00013123372545512866 + 0.0im,1.0,7.027487965490122e-6,0.7185840766759057,0.017241336809126106,Terminated
8,8,0.01,0.9835839527869503,0.016136940658285342,0.5938950739597562,0.24085393322702173,-0.00026113061985399174,0.0001838407373129963,11852,-0.00017904338214800257 + 0.0im,-0.00017552642124246846 + 0.0im,1.0,7.268179636737574e-6,0.6706157710879711,0.01719153305949686,Terminated
8,8,0.01,0.9841219781983049,0.015615341146861798,0.5987770064942738,0.23948802016628523,-0.0004843665776632724,0.00013099457661369857,10972,-0.00015612065912298207 + 0.0im,-0.00015504284930072104 + 0.0im,1.0,1.5143988893583676e-5,0.6610226389480366,0.01651826225657769,Terminated
8,8,0.01,0.9835334112662016,0.01618641145657589,0.6678499725242504,0.22080434899867124,-0.0003376468644349319,9.722440489804926e-5,10995,-0.00014056704570614942 + 0.0im,-0.00014017908128040468 + 0.0im,1.0,1.0598488725571547e-5,0.6955190585633485,0.025634083240216078,Terminated
8,8,0.01,0.9843362725076973,0.015412834031181887,0.7122656594193547,0.20362200958697615,-0.00028210717738192005,0.00017880771974865525,11804,-0.00017728379623083442 + 0.0im,-0.00017481836726683538 + 0.0im,1.0,5.614344432953701e-6,0.6712062416030625,0.014490849762332373,Terminated
