N,M,Leakage,Noise_m,Noise_std,NO,CO,MSE,Eq_MSE,I_m,R_m,eq_t,domEig,domEigLV,C_sur,trc_max
3.0,3.0,0.2,0.001,0.001,3.868581935470135e-98,0.10942356612647469,0.20245740868184692,0.763339978719675,-0.06573378687293578,0.19674626419580413,41.0,-0.2696491166148679,0.17901342773927628,1.0,9.292828373962691e-17
3.0,3.0,0.2,0.1,0.001,0.4503321262899125,0.06722402208972028,8.9220701382168,18.933695141613093,-0.060574080649351054,0.16798820714040605,188.0,-0.04427132111643137,0.04741346556070766,1.0,0.07619981318397252
3.0,3.0,0.2,0.2,0.001,0.37472582218540573,0.06746426734595051,5.304454931277903,1.3264283814326348,-0.07549521095449564,0.20372976412611188,281.0,-0.023969272768598157,-0.09091084875370954,1.0,3.2025606708621995e-17
3.0,3.0,0.2,0.3,0.001,0.4941512490242529,0.07043387502014299,6.869846235980697,14.495353129250534,-0.044961344610515624,0.10285288376088986,210.0,-0.04397560828001494,0.03581668675754762,1.0,0.15092669275578444
3.0,3.0,0.2,0.4,0.001,0.24849439278676794,0.07182037409324932,3.5226528937289694,1.0683881376855733,-0.0724047040261076,0.1975078113273888,458.0,-0.011706434467299357,-0.06586303090313295,1.0,1.7608405025373608e-15
3.0,3.0,0.2,0.5,0.001,0.47396535841138243,0.08078785346906121,5.634764303214794,2.2499744217709274,-0.0670375817180536,0.18747766460604032,316.0,-0.02132722356591025,-0.013937445312709719,1.0,0.027995187669651814
3.0,3.0,0.2,0.001,0.001,1.1055386628380715e-15,0.11345979146526691,0.19253233706993333,0.7263273320012114,-0.062404030650333654,0.18727344374805485,41.0,-0.2636547290971128,0.1653154358332313,1.0,2.9312435984647413e-17
3.0,3.0,0.2,0.1,0.001,0.3530711889722334,0.05903372760344302,9.640270830355002,10.38208505552888,-0.06274576956156258,0.1774361704106735,254.0,-0.0324215220763678,0.009653440638374424,1.0,0.04039321716525765
3.0,3.0,0.2,0.2,0.001,0.09149690813068978,0.08064735198713024,0.41338919513435635,1.532479650879607,-0.06788149335632762,0.19942691142203306,51.0,-0.14447158359172355,0.179421841835308,1.0,7.585670255877998e-17
3.0,3.0,0.2,0.3,0.001,0.6246376549320913,0.0986978350647632,3.049872982221846,0.13416070115987302,-0.07071423638251664,0.19510127513020217,512.0,-0.011177040231710032,-0.013528237875552625,1.0,1.0940088874545399e-16
3.0,3.0,0.2,0.4,0.001,0.27889186976484504,0.08469623136393598,4.339006324352371,11.875252092336652,-0.07470270786289991,0.21064721309678394,121.0,-0.06354144080999924,0.14631355672115626,1.0,2.875208885736807e-17
3.0,3.0,0.2,0.5,0.001,0.6396289983093941,0.11950611159170901,12.898481413551893,3.2007798366423548,-0.05425472697747268,0.16943562477025723,640.0,-0.010405847687553654,0.08283403156228776,1.0,0.11435008557762671
3.0,3.0,0.2,0.001,0.001,5.3171979902940674e-14,0.07057969879599421,0.23135775233871256,0.877202191948925,-0.07253085551603317,0.2185345744063697,41.0,-0.2676255555000558,0.18735593076549417,1.0,6.588987993379864e-17
3.0,3.0,0.2,0.1,0.001,0.04186013883620856,0.10755836030700879,0.21277814807770304,0.800985592379903,-0.0689208049042857,0.2055315024498583,41.0,-0.20345814922759273,0.18572937281352656,1.0,3.7753319593358834e-17
3.0,3.0,0.2,0.2,0.001,0.1895811559892009,0.06399923484581241,3.830074386904176,5.900946599050188,-0.06939480356638666,0.19608310506950044,142.0,-0.0533597458168679,0.07584819493010948,1.0,1.0236198924572038e-15
